Rank,Club / Country,Club,Country,ELO
1343,El GounahEgypt,El Gounah,Egypt,1315
1344,LillestrømNorway,Lillestrøm,Norway,1315
1345,FC KrumovgradBulgaria,FC Krumovgrad,Bulgaria,1315
1346,FC AnyangSouth Korea,FC Anyang,South Korea,1315
1347,Monaghan UnitedIreland,Monaghan United,Ireland,1315
1348,Wisła PłockPoland,Wisła Płock,Poland,1315
1349,Athens Kallithea F.C.Greece,Athens Kallithea F.C.,Greece,1314
1350,Unirea UrziceniRomania,Unirea Urziceni,Romania,1314
1351,Dewa United F.C.Indonesia,Dewa United F.C.,Indonesia,1314
1352,WWS RangersZimbabwe,WWS Rangers,Zimbabwe,1314
1353,NáuticoBrazil,Náutico,Brazil,1314
1354,Moroka SwallowsSouth Africa,Moroka Swallows,South Africa,1314
1355,OCK KhouribgaMorocco,OCK Khouribga,Morocco,1314
1356,Dundee UnitedScotland,Dundee United,Scotland,1314
1357,Bibiani Gold Stars F.C.Ghana,Bibiani Gold Stars F.C.,Ghana,1314
1358,Deportivo QuitoEcuador,Deportivo Quito,Ecuador,1314
1359,Colorado RapidsUnited States,Colorado Rapids,United States,1314
1360,Olympique BéjaTunisia,Olympique Béja,Tunisia,1314
1361,Albion F.C.Uruguay,Albion F.C.,Uruguay,1314
1362,NeftchiUzbekistan,Neftchi,Uzbekistan,1313
1363,QäbäläAzerbaijan,Qäbälä,Azerbaijan,1313
1364,Simba Bhora FCZimbabwe,Simba Bhora FC,Zimbabwe,1313
1365,St. Louis CityUkraine,St. Louis City,Ukraine,1313
1366,FénixUruguay,Fénix,Uruguay,1313
1367,Sporting GagnoaIvory Coast,Sporting Gagnoa,Ivory Coast,1313
1368,Yunnan Yukun F.C.China PR,Yunnan Yukun F.C.China PR,#N/A,1313
1369,Racing Club d'AbidjanIvory Coast,Racing Club d'Abidjan,Ivory Coast,1313
1370,Boyacá Chicó FCColombia,Boyacá Chicó FC,Colombia,1313
1371,Deportivo AchuapaGuatemala,Deportivo Achuapa,Guatemala,1313
1372,Royal PariBolivia,Royal Pari,Bolivia,1313
1373,FK Spartak SuboticaSerbia,FK Spartak Subotica,Serbia,1313
1374,CD America de QuitoEcuador,CD America de Quito,Ecuador,1313
1375,Sporting LagosNigeria,Sporting Lagos,Nigeria,1313
1376,Dynamo de DoualaCameroon,Dynamo de Douala,Cameroon,1312
1377,NewtownWales,Newtown,Wales,1312
1378,Padideh F.C.Iran,Padideh F.C.,Iran,1312
1379,FK Spartak 1918 VarnaBulgaria,FK Spartak 1918 Varna,Bulgaria,1312
1380,Kheybar KhorramabadIran,Kheybar Khorramabad,Iran,1312
1381,Santos LagunaMexico,Santos Laguna,Mexico,1312
1382,Ifeanyi Ubah UnitedNigeria,Ifeanyi Ubah United,Nigeria,1312
1383,FC U Craiova 1948Romania,FC U Craiova 1948,Romania,1311
1384,Independiente PetroleroBolivia,Independiente Petrolero,Bolivia,1311
1385,Estudiantes TecosMexico,Estudiantes Tecos,Mexico,1311
1386,Maccabi Bnei ReinehIsrael,Maccabi Bnei Reineh,Israel,1311
1387,Tampere UnitedFinland,Tampere United,Finland,1311
1388,Dreams FCGhana,Dreams FC,Ghana,1311
1389,Aigle RoyalCameroon,Aigle Royal,Cameroon,1311
1390,Ben AknounAlgeria,Ben Aknoun,Algeria,1311
1391,Sibir NovosibirskRussia,Sibir Novosibirsk,Russia,1311
1392,Sporting Kansas CityUnited States,Sporting Kansas City,United States,1311
1393,Paykan F.C.Iran,Paykan F.C.,Iran,1311
1394,Shams Azar F.C.Iran,Shams Azar F.C.,Iran,1311
1395,Chadormalu Sports ClubIran,Chadormalu Sports Club,Iran,1310
1396,Seongnam FCSouth Korea,Seongnam FC,South Korea,1310
1397,Carlos A. MannucciPeru,Carlos A. Mannucci,Peru,1310
1398,KACM MarrakechMorocco,KACM Marrakech,Morocco,1310
1399,Radnički NišSerbia,Radnički Niš,Serbia,1310
1400,Bhayangkara FCIndonesia,Bhayangkara FC,Indonesia,1310
1401,Berekum Chelsea FCGhana,Berekum Chelsea FC,Ghana,1310
1402,Nkana FCZambia,Nkana FC,Zambia,1310
1403,Gualaceo SCEcuador,Gualaceo SC,Ecuador,1310
1404,PetrojetEgypt,Petrojet,Egypt,1310
1405,MonsBelgium,Mons,Belgium,1310
1406,Ironi Kiryat SchmonaIsrael,Ironi Kiryat Schmona,Israel,1309
1407,Puntarenas FCCosta Rica,Puntarenas FC,Costa Rica,1309
1408,Bryne FKNorway,Bryne FK,Norway,1309
1409,Telephonaat Beni SuefEgypt,Telephonaat Beni Suef,Egypt,1309
1410,BrujasCosta Rica,Brujas,Costa Rica,1309
1411,HamKamNorway,HamKam,Norway,1309
1412,Villa TeresaUruguay,Villa Teresa,Uruguay,1309
1413,AS Aïn M'lilaAlgeria,AS Aïn M'lila,Algeria,1308
1414,Wisła KrakówPoland,Wisła Kraków,Poland,1308
1415,MattersburgAustria,Mattersburg,Austria,1308
1416,Busan I'ParkSouth Korea,Busan I'Park,South Korea,1308
1417,LDU PortoviejoEcuador,LDU Portoviejo,Ecuador,1308
1418,Kaisar KyzylordaKazakhstan,Kaisar Kyzylorda,Kazakhstan,1308
1419,Júbilo IwataJapan,Júbilo Iwata,Japan,1308
1420,IFK VärnamoSweden,IFK Värnamo,Sweden,1308
1421,Amicale FCVanuatu,Amicale FC,Vanuatu,1308
1422,SantosSouth Africa,Santos,South Africa,1308
1423,Academia del Balompi� Boliviano (ABB)Bolivia,Academia del Balompi� Boliviano (ABB),Bolivia,1308
1424,FC Tsarsko Selo Sofia 2015Bulgaria,FC Tsarsko Selo Sofia 2015,Bulgaria,1308
1425,Willem IINetherlands,Willem II,Netherlands,1307
1426,ES MostaganemAlgeria,ES Mostaganem,Algeria,1307
1427,Mes KermanIran,Mes Kerman,Iran,1307
1428,CNIPeru,CNI,Peru,1307
1429,ÜmraniyesporTurkey,Ümraniyespor,Turkey,1307
1430,Monagas SCVenezuela,Monagas SC,Venezuela,1307
1431,FK Mariupol Illichivets'Ukraine,FK Mariupol Illichivets',Ukraine,1307
1432,Al Mokawloon Al ArabEgypt,Al Mokawloon Al Arab,Egypt,1307
1433,Yverdon-Sport FCSwitzerland,Yverdon-Sport FC,Switzerland,1307
1434,Total ChalacoPeru,Total Chalaco,Peru,1307
1435,Árabe UnidoPanama,Árabe Unido,Panama,1306
1436,SamartexGhana,Samartex,Ghana,1306
1437,AremaIndonesia,Arema,Indonesia,1306
1438,Sporting Clube de GoaIndia,Sporting Clube de Goa,India,1306
1439,Africa Sports NationalIvory Coast,Africa Sports National,Ivory Coast,1306
1440,Oita TrinitaJapan,Oita Trinita,Japan,1306
1441,SkalicaSlovakia,Skalica,Slovakia,1306
1442,El Kanemi WarriorsNigeria,El Kanemi Warriors,Nigeria,1305
1443,Neuchâtel XamaxSwitzerland,Neuchâtel Xamax,Switzerland,1305
1444,ZanacoZambia,Zanaco,Zambia,1305
1445,Asoc. Dep. y Rec. Jicaral SercobaCosta Rica,Asoc. Dep. y Rec. Jicaral Sercoba,Costa Rica,1305
1446,KFC KomárnoSlovakia,KFC Komárno,Slovakia,1305
1447,Shahrdari TabrizIran,Shahrdari Tabriz,Iran,1305
1448,CD UT CajamarcaPeru,CD UT Cajamarca,Peru,1305
1449,KhroubAlgeria,Khroub,Algeria,1304
1450,Municipal LimeñoEl Salvador,Municipal Limeño,El Salvador,1304
1451,United Sports ClubIndia,United Sports Club,India,1304
1452,Shabanie MineZimbabwe,Shabanie Mine,Zimbabwe,1304
1453,Dukla PrahaCzech Republic,Dukla Praha,Czech Republic,1304
1454,Gokulam Kerala FcIndia,Gokulam Kerala Fc,India,1304
1455,Olimpik DonetskUkraine,Olimpik Donetsk,Ukraine,1304
1456,Vista HermosaEl Salvador,Vista Hermosa,El Salvador,1304
1457,KFUM-Kameratene OsloNorway,KFUM-Kameratene Oslo,Norway,1304
1458,San LuisChile,San Luis,Chile,1304
1459,Rapide Club Oued ZemMorocco,Rapide Club Oued Zem,Morocco,1303
1460,Delta Force FCNigeria,Delta Force FC,Nigeria,1303
1461,AD Unión MagdalenaColombia,AD Unión Magdalena,Colombia,1303
1462,USFAS BamakoMali,USFAS Bamako,Mali,1303
1463,Szombathelyi HaladásHungary,Szombathelyi Haladás,Hungary,1303
1464,LautokaFiji,Lautoka,Fiji,1303
1465,ErgotelisGreece,Ergotelis,Greece,1303
1466,PersidafonIndonesia,Persidafon,Indonesia,1303
1467,Kabwe WarriorsZambia,Kabwe Warriors,Zambia,1303
1468,LučkoCroatia,Lučko,Croatia,1303
1469,New Edubiase FCGhana,New Edubiase FC,Ghana,1302
1470,Minyor PernikBulgaria,Minyor Pernik,Bulgaria,1302
1471,Larisa AelGreece,Larisa Ael,Greece,1302
1472,Puerto Rico IslandersPuerto Rico,Puerto Rico Islanders,Puerto Rico,1302
1473,SofapakaKenya,Sofapaka,Kenya,1302
1474,PrimorjeSlovenia,Primorje,Slovenia,1302
1475,Ismaily SCEgypt,Ismaily SC,Egypt,1302
1476,Nations FCGhana,Nations FC,Ghana,1302
1477,Zawisza BydgoszczPoland,Zawisza Bydgoszcz,Poland,1302
1478,Wadi Degla FCEgypt,Wadi Degla FC,Egypt,1302
1479,FC DaugavaLatvia,FC Daugava,Latvia,1302
1480,GefleSweden,Gefle,Sweden,1302
1481,IztapaGuatemala,Iztapa,Guatemala,1302
1482,Deportivo MunicipalPeru,Deportivo Municipal,Peru,1301
1483,Merreikh El-FasherSudan,Merreikh El-Fasher,Sudan,1301
1484,SaïdaAlgeria,Saïda,Algeria,1301
1485,Turnu SeverinRomania,Turnu Severin,Romania,1301
1486,Marumo Gallants FCSouth Africa,Marumo Gallants FC,South Africa,1301
1487,Atlético CholomaHonduras,Atlético Choloma,Honduras,1301
1488,FC Zbrojovka BrnoCzech Republic,FC Zbrojovka Brno,Czech Republic,1301
1489,Juventud IndependienteEl Salvador,Juventud Independiente,El Salvador,1301
1490,Atlético HuilaColombia,Atlético Huila,Colombia,1301
1491,Ebusua DwarfsGhana,Ebusua Dwarfs,Ghana,1301
1492,OFK TitogradMontenegro,OFK Titograd,Montenegro,1301
1493,Deportivo MarquenseGuatemala,Deportivo Marquense,Guatemala,1301
1494,ZetaMontenegro,Zeta,Montenegro,1301
1495,ÁguilasCosta Rica,Águilas,Costa Rica,1300
1496,Cork CityIreland,Cork City,Ireland,1300
1497,Al-Jazeera AmmanJordan,Al-Jazeera Amman,Jordan,1300
1498,JalapaGuatemala,Jalapa,Guatemala,1300
1499,Barry Town United FCWales,Barry Town United FC,Wales,1300
1500,GuabiráBolivia,Guabirá,Bolivia,1300
1501,Prachuap FCThailand,Prachuap FC,Thailand,1300
1502,Beyond Limits FANigeria,Beyond Limits FA,Nigeria,1300
1503,FC Chindia TârgovişteRomania,FC Chindia Târgovişte,Romania,1300
1504,San Francisco FCPanama,San Francisco FC,Panama,1300
1505,CDT Real OruroBolivia,CDT Real Oruro,Bolivia,1300
1506,Deportes CopiapóChile,Deportes Copiapó,Chile,1300
1507,Kyzylzhar PetropavlovskKazakhstan,Kyzylzhar Petropavlovsk,Kazakhstan,1300
1508,Mumbai City FCIndia,Mumbai City FC,India,1300
1509,Cerro Porteño PFParaguay,Cerro Porteño PF,Paraguay,1299
1510,Joenkoepings SoedraSweden,Joenkoepings Soedra,Sweden,1299
1511,MFM FCNigeria,MFM FC,Nigeria,1299
1512,PacíficoPeru,Pacífico,Peru,1299
1513,FK PardubiceCzech Republic,FK Pardubice,Czech Republic,1299
1514,Odds BallklubbNorway,Odds Ballklubb,Norway,1299
1515,PescaraItaly,Pescara,Italy,1299
1516,Universidad Central de Venezuela FCVenezuela,Universidad Central de Venezuela FC,Venezuela,1299
1517,Waterford United FCIreland,Waterford United FC,Ireland,1299
1518,AZAL PFC BakuAzerbaijan,AZAL PFC Baku,Azerbaijan,1299
1519,AlaniyaRussia,Alaniya,Russia,1299
1520,ZuliaVenezuela,Zulia,Venezuela,1299
1521,Aluminium HormozganIran,Aluminium Hormozgan,Iran,1299
1522,MCO OujdaMorocco,MCO Oujda,Morocco,1299
1523,SuchitepéquezGuatemala,Suchitepéquez,Guatemala,1299
1524,AD Municipal LiberiaCosta Rica,AD Municipal Liberia,Costa Rica,1299
1525,Jeonnam DragonsSouth Korea,Jeonnam Dragons,South Korea,1298
1526,Herentals FCZimbabwe,Herentals FC,Zimbabwe,1298
1527,KladnoCzech Republic,Kladno,Czech Republic,1298
1528,FC ZlinCzech Republic,FC Zlin,Czech Republic,1298
1529,AssyriskaSweden,Assyriska,Sweden,1298
1530,Esteghlal KhuzestanIran,Esteghlal Khuzestan,Iran,1298
1531,XinabajulGuatemala,Xinabajul,Guatemala,1298
1532,Liberty ProfessionalsGhana,Liberty Professionals,Ghana,1298
1533,FK AudaLatvia,FK Auda,Latvia,1298
1534,PenafielPortugal,Penafiel,Portugal,1298
1535,Centre Salif KéitaMali,Centre Salif Kéita,Mali,1298
1536,Pattaya UnitedThailand,Pattaya United,Thailand,1298
1537,Dalian Yingbo F.C.China PR,Dalian Yingbo F.C.China PR,#N/A,1298
1538,AL SafaLebanon,AL Safa,Lebanon,1298
1539,Odisha FCIndia,Odisha FC,India,1298
1540,DuguwolofilaMali,Duguwolofila,Mali,1297
1541,NK RogaškaSlovenia,NK Rogaška,Slovenia,1297
1542,Enosis ParalimniCyprus,Enosis Paralimni,Cyprus,1297
1543,FKS Stal MielecPoland,FKS Stal Mielec,Poland,1297
1544,Ramonense POCosta Rica,Ramonense PO,Costa Rica,1297
1545,Panserraikos FCGreece,Panserraikos FC,Greece,1297
1546,FK Septemvri SofiaBulgaria,FK Septemvri Sofia,Bulgaria,1297
1547,FC MinajUkraine,FC Minaj,Ukraine,1297
1548,BolognesiPeru,Bolognesi,Peru,1297
1549,Rampla JuniorsUruguay,Rampla Juniors,Uruguay,1297
1550,Chabab Atlas KhénifraMorocco,Chabab Atlas Khénifra,Morocco,1297
1551,RabotničkiMacedonia,Rabotnički,Macedonia,1297
1552,Madura UnitedIndonesia,Madura United,Indonesia,1297
1553,VictoriaHonduras,Victoria,Honduras,1297
1554,Deportivo SantaníParaguay,Deportivo Santaní,Paraguay,1297
1555,Al FeihaSaudi Arabia,Al Feiha,Saudi Arabia,1296
1556,Chippa UnitedSouth Africa,Chippa United,South Africa,1296
1557,Go RoundNigeria,Go Round,Nigeria,1296
1558,Auckland FCNew Zealand,Auckland FC,New Zealand,1296
1559,Doma UnitedNigeria,Doma United,Nigeria,1296
1560,MZKS Arka GdyniaPoland,MZKS Arka Gdynia,Poland,1296
1561,Wellington PhoenixAustralia,Wellington Phoenix,Australia,1296
1562,Western United FCSolomon Islands,Western United FC,Solomon Islands,1296
1563,PetrovacMontenegro,Petrovac,Montenegro,1296
1564,MO BéjaiaAlgeria,MO Béjaia,Algeria,1296
1565,Richards BaySouth Africa,Richards Bay,South Africa,1296
1566,Alki OroklinisCyprus,Alki Oroklinis,Cyprus,1296
1567,Sable BatiéCameroon,Sable Batié,Cameroon,1295
1568,EnvigadoColombia,Envigado,Colombia,1295
1569,FC Unirea 2004 SloboziaRomania,FC Unirea 2004 Slobozia,Romania,1295
1570,Harare CityZimbabwe,Harare City,Zimbabwe,1295
1571,Obolon' KyivUkraine,Obolon' Kyiv,Ukraine,1295
1572,Săgeata NăvodariRomania,Săgeata Năvodari,Romania,1295
1573,Omonia AradippouCyprus,Omonia Aradippou,Cyprus,1295
1574,Ironi Tiberias F.C.Israel,Ironi Tiberias F.C.,Israel,1295
1575,Al Ahli TripoliLibya,Al Ahli Tripoli,Libya,1295
1576,Argeș PiteștiRomania,Argeș Pitești,Romania,1295
1577,CF MontrealCanada,CF Montreal,Canada,1295
1578,Rah AhanIran,Rah Ahan,Iran,1295
1579,Tivoli GardensJamaica,Tivoli Gardens,Jamaica,1295
1580,Olympic El Qanah FCEgypt,Olympic El Qanah FC,Egypt,1295
1581,RentistasUruguay,Rentistas,Uruguay,1294
1582,SogndalNorway,Sogndal,Norway,1294
1583,FC Anzhi MakhachkalaRussia,FC Anzhi Makhachkala,Russia,1294
1584,FC VaduzSwitzerland,FC Vaduz,Switzerland,1294
1585,Deportivo Walter FerrettiNicaragua,Deportivo Walter Ferretti,Nicaragua,1294
1586,CODM MeknèsMorocco,CODM Meknès,Morocco,1294
1587,FeirensePortugal,Feirense,Portugal,1294
1588,FK SlutskBelarus,FK Slutsk,Belarus,1294
1589,NapredakSerbia,Napredak,Serbia,1294
1590,FA ŠiauliaiLithuania,FA Šiauliai,Lithuania,1294
1591,Qatar SCQatar,Qatar SC,Qatar,1294
1592,José GálvezPeru,José Gálvez,Peru,1294
1593,StabækNorway,Stabæk,Norway,1294
1594,FC DordrechtNetherlands,FC Dordrecht,Netherlands,1294
1595,FK Tuzla CityBosnia and Herzegovina,FK Tuzla CityBosnia and,Herzegovina,1294
1596,Real CartagenaColombia,Real Cartagena,Colombia,1294
1597,Ruch ChorzówPoland,Ruch Chorzów,Poland,1294
1598,Maccabi Petah TikvaIsrael,Maccabi Petah Tikva,Israel,1293
1599,NecaxaHonduras,Necaxa,Honduras,1293
1600,Caïman DoualaCameroon,Caïman Douala,Cameroon,1293
1601,Chongqing Liangjiang Athletic F.C.China PR,Chongqing Liangjiang Athletic F.C.China PR,#N/A,1293
1602,Green BuffaloesZambia,Green Buffaloes,Zambia,1293
1603,Joe PublicTrinidad and Tobago,Joe PublicTrinidad and,Tobago,1293
1604,CiclonBolivia,Ciclon,Bolivia,1293
1605,Deportivo AnzoáteguiVenezuela,Deportivo Anzoátegui,Venezuela,1293
1606,Changchun YataiChina PR,Changchun YataiChina PR,#N/A,1293
1607,EkranasLithuania,Ekranas,Lithuania,1293
1608,Akwa StarletsNigeria,Akwa Starlets,Nigeria,1292
1609,Barrio MéxicoCosta Rica,Barrio México,Costa Rica,1292
1610,BucasporTurkey,Bucaspor,Turkey,1292
1611,Jigawa Golden StarsNigeria,Jigawa Golden Stars,Nigeria,1292
1612,Onze CréateursMali,Onze Créateurs,Mali,1292
1613,RadomljeSlovenia,Radomlje,Slovenia,1292
1614,Nassaji MazandaranIran,Nassaji Mazandaran,Iran,1292
1615,AboomoslemIran,Aboomoslem,Iran,1292
1616,LokerenBelgium,Lokeren,Belgium,1292
1617,AlianzaPanama,Alianza,Panama,1292
1618,Kaduna United FCNigeria,Kaduna United FC,Nigeria,1292
1619,Semen PadangIndonesia,Semen Padang,Indonesia,1292
1620,SK Austria KlagenfurtAustria,SK Austria Klagenfurt,Austria,1292
1621,LPTA TozeurTunisia,LPTA Tozeur,Tunisia,1292
1622,CapacoCongo DR,CapacoCongo DR,#N/A,1292
1623,Zhetysu TaldykorganKazakhstan,Zhetysu Taldykorgan,Kazakhstan,1292
1624,Nea SalamisCyprus,Nea Salamis,Cyprus,1292
1625,Olympique de MedeaAlgeria,Olympique de Medea,Algeria,1291
1626,Shenzhen Peng City F.C.China PR,Shenzhen Peng City F.C.China PR,#N/A,1291
1627,Metropolitanos FCVenezuela,Metropolitanos FC,Venezuela,1291
1628,Olympiakos NicosiaCyprus,Olympiakos Nicosia,Cyprus,1291
1629,Livyi Bereh KyivUkraine,Livyi Bereh Kyiv,Ukraine,1291
1630,Magesi F.C.South Africa,Magesi F.C.,South Africa,1291
1631,Rising StarsNigeria,Rising Stars,Nigeria,1291
1632,TarabaNigeria,Taraba,Nigeria,1291
1633,ÖsterSweden,Öster,Sweden,1291
1634,Chepo FCPanama,Chepo FC,Panama,1291
1635,Sport Boys WarnesBolivia,Sport Boys Warnes,Bolivia,1291
1636,Sportif de ChebbaTunisia,Sportif de Chebba,Tunisia,1291
1637,GaziantepsporTurkey,Gaziantepspor,Turkey,1291
1638,Royal AMSouth Africa,Royal AM,South Africa,1290
1639,Deportes QuindíoColombia,Deportes Quindío,Colombia,1290
1640,Leones FCColombia,Leones FC,Colombia,1290
1641,AC OuluFinland,AC Oulu,Finland,1290
1642,Al-Kholood ClubSaudi Arabia,Al-Kholood Club,Saudi Arabia,1290
1643,Montego Bay UnitedJamaica,Montego Bay United,Jamaica,1290
1644,Union DoualaCameroon,Union Douala,Cameroon,1290
1645,CSMS IaşiRomania,CSMS Iaşi,Romania,1290
1646,HispanoHonduras,Hispano,Honduras,1290
1647,Qingdao JonoonChina PR,Qingdao JonoonChina PR,#N/A,1290
1648,Free State StarsSouth Africa,Free State Stars,South Africa,1290
1649,Viktoria ŽižkovCzech Republic,Viktoria Žižkov,Czech Republic,1290
1650,KitcheeHong Kong,Kitchee,Hong Kong,1290
1651,Moghreb TétouanMorocco,Moghreb Tétouan,Morocco,1289
1652,AdanasporTurkey,Adanaspor,Turkey,1289
1653,United PetrotrinTrinidad and Tobago,United PetrotrinTrinidad and,Tobago,1289
1654,Young Sport Academy BamendaCameroon,Young Sport Academy Bamenda,Cameroon,1289
1655,JagodinaSerbia,Jagodina,Serbia,1289
1656,FC Samgurali TskhaltuboGeorgia,FC Samgurali Tskhaltubo,Georgia,1289
1657,Malut United FCIndonesia,Malut United FC,Indonesia,1289
1658,KoloaleSolomon Islands,Koloale,Solomon Islands,1289
1659,IndiosMexico,Indios,Mexico,1289
1660,Keşlə Futbol KlubuAzerbaijan,Keşlə Futbol Klubu,Azerbaijan,1288
1661,AS RejicheTunisia,AS Rejiche,Tunisia,1288
1662,LierseBelgium,Lierse,Belgium,1288
1663,Pas HamedanIran,Pas Hamedan,Iran,1288
1664,Dundee FCScotland,Dundee FC,Scotland,1288
1665,Cape Town SpursSouth Africa,Cape Town Spurs,South Africa,1288
1666,Vegalta SendaiJapan,Vegalta Sendai,Japan,1288
1667,TacuaryParaguay,Tacuary,Paraguay,1288
1668,Pretoria UniversitySouth Africa,Pretoria University,South Africa,1288
1669,Zamora FCVenezuela,Zamora FC,Venezuela,1288
1670,NK KrkaSlovenia,NK Krka,Slovenia,1288
1671,União de LeiriaPortugal,União de Leiria,Portugal,1288
1672,V-Varen NagasakiJapan,V-Varen Nagasaki,Japan,1288
1673,CA PalmaflorBolivia,CA Palmaflor,Bolivia,1288
1674,Dalian ShideChina PR,Dalian ShideChina PR,#N/A,1287
1675,Renaissance de NgoumouCameroon,Renaissance de Ngoumou,Cameroon,1287
1676,Guangzhou F.C.China PR,Guangzhou F.C.China PR,#N/A,1287
1677,FK Inhulets' PetroveUkraine,FK Inhulets' Petrove,Ukraine,1287
1678,Belén Siglo XXICosta Rica,Belén Siglo XXI,Costa Rica,1287
1679,ADO Den HaagNetherlands,ADO Den Haag,Netherlands,1287
1680,Santiago WanderersChile,Santiago Wanderers,Chile,1287
1681,Sriwijaya FCIndonesia,Sriwijaya FC,Indonesia,1287
1682,VirungaCongo DR,VirungaCongo DR,#N/A,1287
1683,Al-Zawraa SCIraq,Al-Zawraa SC,Iraq,1287
1684,Deportivo LlacuabambaPeru,Deportivo Llacuabamba,Peru,1287
1685,KarlovacCroatia,Karlovac,Croatia,1287
1686,Lobi StarsNigeria,Lobi Stars,Nigeria,1286
1687,SV RoeselareBelgium,SV Roeselare,Belgium,1286
1688,Sport Rosario (Huaraz)Peru,Sport Rosario (Huaraz),Peru,1286
1689,FC Arsenal DzerzhinskBelarus,FC Arsenal Dzerzhinsk,Belarus,1286
1690,VestsjællandDenmark,Vestsjælland,Denmark,1286
1691,RWD MolenbeekBelgium,RWD Molenbeek,Belgium,1286
1692,El Entag El HarbyEgypt,El Entag El Harby,Egypt,1286
1693,DragonsCongo DR,DragonsCongo DR,#N/A,1286
1694,Issia WaziIvory Coast,Issia Wazi,Ivory Coast,1286
1695,ÖrebroSweden,Örebro,Sweden,1286
1696,Maritzburg UnitedSouth Africa,Maritzburg United,South Africa,1286
1697,Zulte WaregemBelgium,Zulte Waregem,Belgium,1286
1698,Halmstads BKSweden,Halmstads BK,Sweden,1286
1699,Internaţional Curtea de ArgeşRomania,Internaţional Curtea de Argeş,Romania,1286
1700,Maestro United ZambiaZambia,Maestro United Zambia,Zambia,1286
1701,AOK KerkyraGreece,AOK Kerkyra,Greece,1286
1702,Al ShoalahSaudi Arabia,Al Shoalah,Saudi Arabia,1286
1703,Accra Great OlympicsGhana,Accra Great Olympics,Ghana,1286
1704,FC YelimayKazakhstan,FC Yelimay,Kazakhstan,1285
1705,MictlánGuatemala,Mictlán,Guatemala,1285
1706,HønefossNorway,Hønefoss,Norway,1285
1707,TarazKazakhstan,Taraz,Kazakhstan,1285
1708,AtyrauKazakhstan,Atyrau,Kazakhstan,1285
1709,Central Coast Mariners FCAustralia,Central Coast Mariners FC,Australia,1285
1710,ChikhuraGeorgia,Chikhura,Georgia,1285
1711,KV OostendeBelgium,KV Oostende,Belgium,1285
1712,Avion Fc Du NkamCameroon,Avion Fc Du Nkam,Cameroon,1285
1713,Lokomotiv MezdraBulgaria,Lokomotiv Mezdra,Bulgaria,1285
1714,Crucero del NorteArgentina,Crucero del Norte,Argentina,1285
1715,RanheimNorway,Ranheim,Norway,1285
1716,Vasas BudapestHungary,Vasas Budapest,Hungary,1284
1717,Degerfors IFSweden,Degerfors IF,Sweden,1284
1718,Al Quwa Al JawiyaIraq,Al Quwa Al Jawiya,Iraq,1284
1719,FK Istiqlol DushanbeTajikistan,FK Istiqlol Dushanbe,Tajikistan,1284
1720,SkenderbeuAlbania,Skenderbeu,Albania,1284
1721,USM Bel AbbèsAlgeria,USM Bel Abbès,Algeria,1284
1722,Veria FCGreece,Veria FC,Greece,1284
1723,VVV-VenloNetherlands,VVV-Venlo,Netherlands,1284
1724,El-Sharkia Lel Dokhan (Eastern Company SC)Egypt,El-Sharkia Lel Dokhan (Eastern Company SC),Egypt,1284
1725,Karela United FCGhana,Karela United FC,Ghana,1284
1726,Hay Al Wadi SCSudan,Hay Al Wadi SC,Sudan,1284
1727,LimónCosta Rica,Limón,Costa Rica,1284
1728,JS El OmraneTunisia,JS El Omrane,Tunisia,1283
1729,Williamsville Athletic ClubIvory Coast,Williamsville Athletic Club,Ivory Coast,1283
1730,Suphanburi FCThailand,Suphanburi FC,Thailand,1283
1731,WSG TirolAustria,WSG Tirol,Austria,1283
1732,Grazer AKAustria,Grazer AK,Austria,1283
1733,Hapoel Rishon LeZionIsrael,Hapoel Rishon LeZion,Israel,1283
1734,ÅtvidabergSweden,Åtvidaberg,Sweden,1283
1735,Polonia BytomPoland,Polonia Bytom,Poland,1283
1736,Al AhliQatar,Al Ahli,Qatar,1283
1737,Club Vaca Díez de PandoBolivia,Club Vaca Díez de Pando,Bolivia,1283
1738,São Salvador do KongoAngola,São Salvador do Kongo,Angola,1283
1739,A.E. Kifisia F.C.Greece,A.E. Kifisia F.C.,Greece,1282
1740,San SimonPeru,San Simon,Peru,1282
1741,Turku PSFinland,Turku PS,Finland,1282
1742,FK Liepājas MetalurgsLatvia,FK Liepājas Metalurgs,Latvia,1282
1743,ElimaCongo DR,ElimaCongo DR,#N/A,1282
1744,Nyíregyháza SpartacusHungary,Nyíregyháza Spartacus,Hungary,1282
1745,Gateway FCNigeria,Gateway FC,Nigeria,1282
1746,FK RiteriaiLithuania,FK Riteriai,Lithuania,1282
1747,Al-Khaleej ClubSaudi Arabia,Al-Khaleej Club,Saudi Arabia,1282
1748,FF JaroFinland,FF Jaro,Finland,1281
1749,Halcones FCGuatemala,Halcones FC,Guatemala,1281
1750,CS UruguayCosta Rica,CS Uruguay,Costa Rica,1281
1751,Chornomorets OdesaUkraine,Chornomorets Odesa,Ukraine,1281
1752,Hawke's Bay UnitedNew Zealand,Hawke's Bay United,New Zealand,1281
1753,Steel AzinIran,Steel Azin,Iran,1281
1754,SC Austria LustenauAustria,SC Austria Lustenau,Austria,1281
1755,Pirin BlagoevgradBulgaria,Pirin Blagoevgrad,Bulgaria,1281
1756,Lion BlesséCameroon,Lion Blessé,Cameroon,1280
